name,ticker,date,close,sector,currency
,,,,,
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-10-22,64.95999908447266,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-10-25,65.0999984741211,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-10-26,65.3499984741211,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-10-27,65.5,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-10-28,65.37999725341797,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-10-29,65.66000366210938,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-11-01,65.80000305175781,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-11-02,65.5,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-11-03,65.37000274658203,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-11-04,66.01000213623047,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-11-05,66.72000122070312,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-11-08,67.62999725341797,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-11-09,67.9800033569336,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-11-10,68.12999725341797,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-11-11,67.33999633789062,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-11-12,66.87999725341797,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-11-15,67.08999633789062,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-11-16,66.08999633789062,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-11-17,66.41000366210938,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-11-18,67.06999969482422,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-11-19,66.7699966430664,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-11-22,67.22000122070312,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-11-23,67.37000274658203,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-11-24,68.61000061035156,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-11-25,68.95999908447266,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-11-26,69.06999969482422,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-11-29,68.80999755859375,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-11-30,68.97000122070312,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-12-01,69.19999694824219,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-12-02,70.1500015258789,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-12-03,69.75,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-12-06,70.83000183105469,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-12-07,70.97000122070312,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-12-08,70.93000030517578,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-12-09,71.19000244140625,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-12-10,71.2300033569336,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-12-13,71.02999877929688,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-12-14,70.94000244140625,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-12-15,70.95999908447266,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-12-16,71.44999694824219,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-12-17,71.88999938964844,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-12-20,71.80999755859375,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-12-21,72.38999938964844,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-12-22,72.62999725341797,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-12-23,73.19999694824219,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-12-27,72.02999877929688,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-12-28,72.69999694824219,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-12-29,72.5999984741211,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2010-12-30,71.76000213623047,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2011-01-03,72.16999816894531,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2011-01-04,72.08000183105469,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2011-01-05,73.0999984741211,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2011-01-06,73.93000030517578,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2011-01-07,74.62000274658203,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2011-01-10,75.08000183105469,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2011-01-11,75.04000091552734,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2011-01-12,75.01000213623047,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2011-01-13,73.72000122070312,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2011-01-14,74.04000091552734,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2011-01-17,74.44000244140625,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2011-01-18,73.75,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2011-01-19,73.4000015258789,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2011-01-20,72.36000061035156,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2011-01-21,72.05000305175781,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2011-01-24,71.83999633789062,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2011-01-25,72.29000091552734,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2011-01-26,72.83999633789062,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2011-01-27,72.86000061035156,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2011-01-28,72.37999725341797,,EUR
Amundi MSCI World Information Technology UCITS ETF,TNOW,2011-01-31,71.56999969482422,,EUR
